id,Date,State,Total Confirmed Cases,Total Deaths
462,Sun 1/1,Hawaii,363188,1758
463,Sun 1/1,Idaho,511722,5329
464,Sun 1/1,Illinois,3976840,40678
465,Sun 1/1,Indiana,2002760,25364
466,Sun 1/1,Iowa,886411,10424
467,Sun 1/1,Kansas,917091,9859
468,Sun 1/1,Kentucky,1660077,17751
469,Sun 1/1,Louisiana,1514113,18370
470,Sun 1/1,Maine,306647,2811
471,Sun 1/1,Maryland,1318510,16034
472,Sun 1/1,Massachusetts,2154886,22940
473,Sun 1/1,Michigan,2979504,40767
474,Sun 1/1,Minnesota,1736893,14320
475,Sun 1/1,Mississippi,955145,13124
476,Sun 1/1,Missouri,1743492,23282
477,Sun 1/1,Montana,323245,3639
478,Sun 1/1,Nebraska,556647,4843
479,Sun 1/1,Nevada,876118,11880
480,Sun 1/1,New Hampshire,367542,2856
481,Sun 1/1,New Jersey,2926834,35533
482,Sun 1/1,New Mexico,659056,8828
483,Sun 1/1,New York,6566031,77722
484,Sun 1/1,North Carolina,3316814,28789
485,Sun 1/1,North Dakota,280583,2474
486,Sun 1/1,Northern Mariana Islands,13236,41
487,Sun 1/1,Ohio,3307568,41018
488,Sun 1/1,Oklahoma,1250013,16054
489,Sun 1/1,Oregon,939303,8967
490,Sun 1/1,Pennsylvania,3416142,48972
491,Sun 1/1,Puerto Rico,1087420,5541
492,Sun 1/1,Rhode Island,443645,3800
493,Sun 1/1,South Carolina,1770059,19385
494,Sun 1/1,South Dakota,271856,3138
495,Sun 1/1,Tennessee,2349681,28274
496,Sun 1/1,Texas,8111323,92709
497,Sun 1/1,Utah,1075137,5187
498,Sun 1/1,Vermont,148393,791
499,Sun 1/1,Virgin Islands,23769,127
500,Sun 1/1,Virginia,2205518,22793
501,Sun 1/1,Washington,1883676,15067
502,Sun 1/1,West Virginia,624721,7795
503,Sun 1/1,Wisconsin,1960884,15860
504,Sun 1/1,Wyoming,182847,1959
505,Mon 1/2,Alabama,1573637,21208
506,Mon 1/2,Alaska,301774,1408
507,Mon 1/2,American Samoa,8266,34
508,Mon 1/2,Arizona,2378334,32182
509,Mon 1/2,Arkansas,985945,12703
510,Mon 1/2,California,11826523,100865
511,Mon 1/2,Colorado,1736048,13899
512,Mon 1/2,Connecticut,949661,11781
513,Mon 1/2,Delaware,321888,3206
514,Mon 1/2,District of Columbia,173626,1411
515,Mon 1/2,Florida,7269428,83911
516,Mon 1/2,Georgia,2898584,39964
517,Mon 1/2,Guam,60845,412
518,Mon 1/2,Hawaii,363188,1758
519,Mon 1/2,Idaho,511722,5329
520,Mon 1/2,Illinois,3976840,40678
521,Mon 1/2,Indiana,2002760,25364
522,Mon 1/2,Iowa,886411,10424
523,Mon 1/2,Kansas,917091,9859
524,Mon 1/2,Kentucky,1660077,17751
525,Mon 1/2,Louisiana,1514113,18370
526,Mon 1/2,Maine,306647,2811
527,Mon 1/2,Maryland,1318510,16034
528,Mon 1/2,Massachusetts,2154886,22940
529,Mon 1/2,Michigan,2979504,40767
530,Mon 1/2,Minnesota,1736893,14320
531,Mon 1/2,Mississippi,955145,13124
532,Mon 1/2,Missouri,1743492,23282
533,Mon 1/2,Montana,323245,3639
534,Mon 1/2,Nebraska,556647,4843
535,Mon 1/2,Nevada,876118,11880
536,Mon 1/2,New Hampshire,367542,2856
537,Mon 1/2,New Jersey,2926834,35533
538,Mon 1/2,New Mexico,659056,8828
539,Mon 1/2,New York,6567878,77722
540,Mon 1/2,North Carolina,3316814,28789
541,Mon 1/2,North Dakota,280583,2474
542,Mon 1/2,Northern Mariana Islands,13236,41
543,Mon 1/2,Ohio,3307568,41018
544,Mon 1/2,Oklahoma,1250013,16054
545,Mon 1/2,Oregon,939303,8967
546,Mon 1/2,Pennsylvania,3416848,48972
547,Mon 1/2,Puerto Rico,1087420,5541
548,Mon 1/2,Rhode Island,443645,3800
549,Mon 1/2,South Carolina,1770059,19385
550,Mon 1/2,South Dakota,271856,3138
551,Mon 1/2,Tennessee,2349681,28274
552,Mon 1/2,Texas,8111323,92709
553,Mon 1/2,Utah,1075137,5187
554,Mon 1/2,Vermont,148393,791
555,Mon 1/2,Virgin Islands,23769,127
556,Mon 1/2,Virginia,2211948,22793
557,Mon 1/2,Washington,1883676,15067
558,Mon 1/2,West Virginia,624721,7795
559,Mon 1/2,Wisconsin,1960884,15860
560,Mon 1/2,Wyoming,182847,1959
561,Tue 1/3,Alabama,1573637,21208
562,Tue 1/3,Alaska,302138,1408
563,Tue 1/3,American Samoa,8266,34
564,Tue 1/3,Arizona,2378334,32182
565,Tue 1/3,Arkansas,986287,12703
566,Tue 1/3,California,11833426,100924
567,Tue 1/3,Colorado,1736361,13905
